PRODUCT ID;PRODUCT NAME;LEGAL PRODUCT GROUP;BLOOMBERG VENDOR CODE;REUTERS VENDOR CODE
ADS4;4TH FRIDAY OPT ON adidas;SINGLE STOCK OPTIONS;ADS GY Equity;0#ADSGn4W*.EX
ADS5;5TH FRIDAY OPT ON adidas;SINGLE STOCK OPTIONS;ADS GY Equity;0#ADSGn5W*.EX
ADSE;OPT E ON ADIDAS AG;SINGLE STOCK OPTIONS;ADS GR Equity;0#ADSE*.EX
ADSG;FUT ON ADIDAS;SINGLE STOCK FUTURES;ADSG=A GR Equity;0#ADSG2:
ADV;OPT ON ADVA OPT. NETW. SE;SINGLE STOCK OPTIONS;ADV GY Equity;0#ADAG*.EX
ADVF;FUT ON ADVA AG OPT. NETW.;SINGLE STOCK FUTURES;ADVF=A GR Equity;0#ADAG:
AEMF;FUT ON AGNICO EAGLE MINES LTD;SINGLE STOCK FUTURES;AEMF=A GR Equity;0#AEM:
AEN;OPT ON AEGON;SINGLE STOCK OPTIONS;AGN NA Equity;0#AEGN*.EX
AENF;FUT ON AEGON;SINGLE STOCK FUTURES;AGN=A GR Equity;0#AEGN:
AENP;FUT ON Aena SA;SINGLE STOCK FUTURES;AENP=A GR Equity;0#AENP:
AER;OPTION ON BAE SYSTEMS;SINGLE STOCK OPTIONS;BA/ LN Equity;0#BAES*.EX
AFR;OPT ON AIR FRANCE-KLM;SINGLE STOCK OPTIONS;AF FP Equity;0#AIRF*.EX
AFRF;FUT ON AIR FRANCE-KLM;SINGLE STOCK FUTURES;AFRF=A GR Equity;0#AFRF:
AFX;OPT ON CARL-ZEISS MEDITEC AG;SINGLE STOCK OPTIONS;AFX GR Equity;0#AFXG*.EX
AFXF;FUT ON Carl Zeiss Meditec AG;SINGLE STOCK FUTURES;AFXF=A GR Equity;0#AFXG:
AGKF;FUT ON Aggreko;SINGLE STOCK FUTURES;AGKF=A GR Equity;0#AGKF:
AHA;OPTION ON ANGLO AMERICAN;SINGLE STOCK OPTIONS;AAL LN Equity;0#AAL*.EX
AHO;OPT ON AHOLD DELHAIZE N.V.;SINGLE STOCK OPTIONS;AD NA Equity;0#AHLN*.EX
AHOI;FUT ON AHOLD DELHAIZE N.V.;SINGLE STOCK FUTURES;AHOI=A GR Equity;0#AHLN4:
AI3F;FUT ON AMADEUS IT GROUP SA;SINGLE STOCK FUTURES;AI3F=A GR Equity;0#AI3F:
AI3P;FUT ON Amadeus IT Group SA;SINGLE STOCK FUTURES;AI3P=A GR Equity;0#AI3P:
AIR;OPT ON AIR LIQUIDE;SINGLE STOCK OPTIONS;AI FP Equity;0#AIRP*.EX
AIR1;1ST FRIDAY OPT ON AIR LIQUIDE;SINGLE STOCK OPTIONS;AIL GR Equity;0#AIRP1W*.EX
AIR2;2ND FRIDAY OPT ON AIR LIQUIDE;SINGLE STOCK OPTIONS;AIL GR Equity;0#AIRP2W*.EX
AIR4;4TH FRIDAY OPT ON AIR LIQUIDE;SINGLE STOCK OPTIONS;AIL GR Equity;0#AIRP4W*.EX
AIR5;5TH FRIDAY OPT ON AIR LIQUIDE;SINGLE STOCK OPTIONS;AIL GR Equity;0#AIRP5W*.EX
AIRM;FUT ON Air Liquide S.A.;SINGLE STOCK FUTURES;AIRM=A GR Equity;0#AIRF8:
AIX;OPT ON AIXTRON SE;SINGLE STOCK OPTIONS;AIXA GY Equity;0#AIXGn*.EX
AKE;OPTION ON ARKEMA;SINGLE STOCK OPTIONS;AKE FP Equity;0#AKE*.EX
AKU;OPT ON AKZO NOBEL;SINGLE STOCK OPTIONS;AKU GR Equity ;0#AKZO*.EX
AKUG;FUT ON AKZO NOBEL N.V.;SINGLE STOCK FUTURES;AKUG=A GR Equity;0#AKUF2:
ALBF;FUT ON AIB GROUP PLC.;SINGLE STOCK FUTURES;ALBK=A GR Equity;0#ALBK:
ALL;OPT ON Allreal Holding AG;SINGLE STOCK OPTIONS;ALLN SW Equity;0#ALLN*.EX
ALPH;OPTION ON ALPIQ;SINGLE STOCK OPTIONS;ALPH SE Equity;0#ALPH*.EX
ALV;OPT ON ALLIANZ SE;SINGLE STOCK OPTIONS;ALV GR Equity ;0#ALVG*.EX
ALV1;1ST FRIDAY OPT ON ALLIANZ;SINGLE STOCK OPTIONS;ALV GR Equity;0#ALVG1W*.EX
ALV2;2ND FRIDAY OPT ON ALLIANZ;SINGLE STOCK OPTIONS;ALV GR Equity;0#ALVG2W*.EX
ALV4;4TH FRIDAY OPT ON ALLIANZ;SINGLE STOCK OPTIONS;ALV GR Equity;0#ALVG4W*.EX
ALV5;5TH FRIDAY OPT ON ALLIANZ;SINGLE STOCK OPTIONS;ALV GR Equity;0#ALVG5W*.EX
